	time	num1	num2	result	answer	correct
0	1.0858581999782473	0	3	3	3	1
1	0.9038248999859206	1	0	1	1	1
2	1.05717949999962	2	1	3	3	1
3	1.340141799999401	1	2	3	3	1
4	0.9220629999763332	1	1	2	2	1
5	1.1101289999787696	1	1	2	2	1
6	1.0895942999632098	1	0	1	1	1
7	1.2528399000293575	3	1	4	4	1
8	1.2656656000181101	2	3	5	4	0
9	2.132131299993489	0	0	0	0	1
10	1.1096489999908954	2	2	4	4	1
11	1.0016695999656804	2	0	2	2	1
12	0.9457496999530122	3	2	5	3	0
13	1.2698277999879792	0	0	0	0	1
14	1.3086249000043608	3	0	3	3	1
15	1.0086091000121087	0	0	0	0	1
16	0.6903716999804601	1	0	1	1	1
17	3.2033654999686405	1	3	4	4	1
18	0.957897900021635	2	1	3	3	1
19	0.9838999000494368	0	2	2	2	1
20	0.8534873999888077	2	0	2	2	1
21	0.8556236000149511	2	2	4	1	0
22	1.663529799960088	1	2	3	2	0
23	1.1273870000150055	3	3	6	6	1
24	0.9466505000018515	2	0	2	2	1
25	1.6638735000160523	0	0	0	0	1
26	4.641012599982787	3	1	4	4	1
27	1.1194659000029787	1	3	4	4	1
28	1.3551020000013523	2	2	4	4	1
