time,num1,num2,result,answer,date,correct
3.0554453000000024,42,9,51,49,Apr-15-2020,0
4.913029199999997,42,42,84,84,Apr-15-2020,1
3.566478100000012,11,35,46,46,Apr-15-2020,1
6.616493199999994,48,27,75,75,Apr-15-2020,1
3.9831799000000103,35,15,50,40,Apr-15-2020,0
5.2793015000000025,35,35,70,70,Apr-15-2020,1
3.432089000000005,10,39,49,49,Apr-15-2020,1
2.895536899999996,6,11,17,17,Apr-15-2020,1
4.424296699999999,14,48,62,62,Apr-15-2020,1
2.8248702999999864,16,6,22,22,Apr-15-2020,1
4.919355600000017,22,13,35,35,Apr-15-2020,1
2.4626037999999824,16,9,25,25,Apr-15-2020,1
5.456358600000016,45,17,62,62,Apr-15-2020,1
5.2155970999999965,29,48,77,77,Apr-15-2020,1
3.2648028000000124,39,20,59,59,Apr-15-2020,1
6.791249899999997,23,19,42,42,Apr-15-2020,1
1.9030047999999908,21,1,22,22,Apr-15-2020,1
3.9030360000006112,19,41,60,60,Apr-16-2020,1
3.9034750000000713,11,49,60,60,Apr-16-2020,1
7.504598900000019,33,16,49,49,Apr-16-2020,1
4.591106700000637,6,37,43,43,Apr-16-2020,1
2.215396700000383,31,30,61,61,Apr-16-2020,1
6.199922199999492,16,27,43,43,Apr-16-2020,1
3.8651582000002236,38,28,66,66,Apr-16-2020,1
2.520004699999845,30,24,54,54,Apr-16-2020,1
2.574893599999996,6,37,43,43,Apr-16-2020,1
1.8790918999993664,30,12,42,42,Apr-16-2020,1
2.63233130000026,5,31,36,36,Apr-16-2020,1
1.8871718000000328,45,1,46,46,Apr-16-2020,1
6.168507200000022,39,42,81,81,Apr-16-2020,1
4.974960600000486,19,24,43,43,Apr-16-2020,1
1.784056999999848,43,0,43,43,Apr-16-2020,1
1.056100200000401,33,0,33,33,Apr-16-2020,1
1.9514195000001564,12,7,19,19,Apr-16-2020,1
5.872843600000124,12,31,43,43,Apr-16-2020,1
1.7345322000001033,40,2,42,42,Apr-16-2020,1
2.408377400000063,19,3,22,22,Apr-16-2020,1
2.5025556000000506,28,6,34,24,Apr-16-2020,0
8.015781400000378,33,49,82,82,Apr-16-2020,1
2.0644697999996424,3,26,29,29,Apr-16-2020,1
3.2649811000001137,10,32,42,42,Apr-16-2020,1
1.7098153000006278,19,2,21,21,Apr-16-2020,1
3.840470899999673,25,28,53,52,Apr-16-2020,0
10.175192800000332,6,14,20,20,Apr-16-2020,1
3.6643679999997403,37,37,74,74,Apr-16-2020,1
4.839384500000051,45,12,57,57,Apr-16-2020,1
2.008485300000757,38,1,39,39,Apr-16-2020,1
4.047027100000378,31,37,68,68,Apr-16-2020,1
4.591980199999853,38,23,61,61,Apr-16-2020,1
1.983285700000124,38,3,41,41,Apr-16-2020,1
2.0648659000007683,8,22,30,30,Apr-16-2020,1
2.4864926000000196,15,14,29,29,Apr-16-2020,1
1.6398967000004632,2,24,26,26,Apr-16-2020,1
3.2160603000002084,11,14,25,25,Apr-16-2020,1
3.3769813999997496,18,15,33,33,Apr-16-2020,1
2.894418500000029,41,19,60,60,Apr-16-2020,1
6.767965600000025,33,22,55,55,Apr-16-2020,1
2.2637196000005133,6,32,38,38,Apr-16-2020,1
3.8479276999996728,21,26,47,47,Apr-16-2020,1
1.8236102000000756,30,11,41,41,Apr-16-2020,1
1.4801802000001771,23,3,26,26,Apr-16-2020,1
5.848070299999563,44,23,67,67,Apr-16-2020,1
2.8076939000002312,20,42,62,62,Apr-16-2020,1
4.82362060000014,19,29,48,48,Apr-16-2020,1
1.3429015000001527,4,6,10,10,Apr-16-2020,1
5.391576099999838,23,5,28,28,Apr-16-2020,1
2.8395923000007315,13,11,24,24,Apr-16-2020,1
6.720215899999857,29,47,76,76,Apr-16-2020,1
2.6642784999994547,30,39,69,69,Apr-16-2020,1
2.416854600000079,6,43,49,49,Apr-16-2020,1
6.231521000000612,46,29,75,75,Apr-16-2020,1
5.480333000000428,36,23,59,59,Apr-16-2020,1
4.277792699999736,31,29,60,60,Apr-16-2020,1
1.5113087999998243,29,0,29,29,Apr-16-2020,1
2.4487693999999465,18,7,25,25,Apr-16-2020,1
5.07157289999941,48,31,79,79,Apr-16-2020,1
7.591698700000052,30,19,49,49,Apr-16-2020,1
5.27222729999994,7,36,43,43,Apr-16-2020,1
3.264050199999474,46,11,57,57,Apr-16-2020,1
1.583667300000343,3,8,11,11,Apr-16-2020,1
2.7910592000007455,3,49,52,52,Apr-16-2020,1
5.175777399999788,21,18,39,39,Apr-16-2020,1
1.6157852999995157,8,3,11,11,Apr-16-2020,1
2.5043621999993775,40,24,64,64,Apr-16-2020,1
4.39156550000007,14,34,48,48,Apr-16-2020,1
5.416112599999906,27,17,44,44,Apr-16-2020,1
