time,num1,num2,result,answer,date,correct,score,problem_type
4.994578100000002,18,18,324,324,Oct-24-2021,1,75.05418960300037,square
2.228069999999999,12,12,144,144,Oct-24-2021,1,95.0357040751,square
1.963721700000001,18,18,324,324,Oct-24-2021,1,96.14379708494911,square
1.4719127999999984,12,12,144,144,Oct-24-2021,1,97.83347270919616,square
1.3365390999999958,12,12,144,144,Oct-24-2021,1,98.21366323417121,square
1.9053933,13,13,169,169,Oct-24-2021,1,96.3694763723151,square
3.020643,14,14,196,196,Oct-24-2021,1,90.875715866551,square
1.4203911999999974,12,12,144,144,Oct-24-2021,1,97.98248883896257,square
1.826276400000005,14,14,196,196,Oct-24-2021,1,96.66471451080302,square
1.4276649000000037,12,12,144,144,Oct-24-2021,1,97.96177293330798,square
1.4488702000000018,10,10,100,100,Oct-24-2021,1,97.90077514355195,square
1.9069050000000016,13,13,169,169,Oct-24-2021,1,96.363713320975,square
4.882737200000001,19,19,361,361,Oct-24-2021,1,76.15887743573614,square
2.0742231999999987,13,13,169,169,Oct-24-2021,1,95.69759811658176,square
1.306450599999998,10,10,100,100,Oct-24-2021,1,98.29318682975965,square
2.1201262999999955,20,20,400,400,Oct-24-2021,1,95.50506447204833,square
2.3088273999999984,15,15,225,225,Oct-24-2021,1,94.66931603700925,square
8.746768699999997,17,17,289,196,Oct-24-2021,0,0.0,square
2.051594499999993,10,10,100,100,Oct-24-2021,1,95.79096000756978,square
1.5382756999999998,12,12,144,144,Oct-24-2021,1,97.63370787078951,square
3.3866388999999932,19,19,361,361,Oct-24-2021,1,88.53067696100683,square
2.597552500000006,13,13,169,169,Oct-24-2021,1,93.25272100974372,square
2.1553539000000086,19,19,361,361,Oct-24-2021,1,95.35444956575475,square
2.1811488000000026,13,13,169,169,Oct-24-2021,1,95.24258991225855,square
2.028640699999997,15,15,225,225,Oct-24-2021,1,95.88461691030352,square
2.5579580999999934,18,18,324,324,Oct-24-2021,1,93.45685035864443,square
3.7607390000000014,12,12,144,144,Oct-24-2021,1,85.85684217387899,square
2.1048264000000074,18,18,324,324,Oct-24-2021,1,95.56970582586301,square
30.092658900000004,17,17,289,289,Oct-24-2021,1,0.0,square
3.3258101999999923,14,14,196,196,Oct-24-2021,1,88.93898651357601,square
2.1897979000000163,17,17,289,289,Oct-24-2021,1,95.20478515715551,square
1.8145695000000048,15,15,225,225,Oct-24-2021,1,96.70733752966973,square
3.0331727000000233,16,16,256,256,Oct-24-2021,1,90.79986337197457,square
2.147187800000012,11,11,121,121,Oct-24-2021,1,95.3895845515311,square
2.0885469000000114,16,16,256,256,Oct-24-2021,1,95.63797184650034,square
2.6328392000000065,20,20,400,400,Oct-24-2021,1,93.06815774694333,square
1.7109642000000065,14,14,196,196,Oct-24-2021,1,97.07260150631834,square
1.6467942999999818,11,11,121,121,Oct-24-2021,1,97.28806853348757,square
1.2896466999999916,11,11,121,121,Oct-24-2021,1,98.33681138917913,square
1.3168931999999811,10,10,100,100,Oct-24-2021,1,98.26579229979382,square
1.8928444999999956,13,13,169,169,Oct-24-2021,1,96.41713969881977,square
1.4645993000000033,12,12,144,144,Oct-24-2021,1,97.8549488904395,square
3.904033800000008,18,18,324,324,Oct-24-2021,1,84.7585200884575,square
2.126837499999993,14,14,196,196,Oct-24-2021,1,95.47656224859378,square
2.1228203999999953,18,18,324,324,Oct-24-2021,1,95.49363354934385,square
1.5811460999999838,12,12,144,144,Oct-24-2021,1,97.49997701045484,square
1.3556046000000208,11,11,121,121,Oct-24-2021,1,98.16233616845878,square
3.4846794999999986,17,17,289,289,Oct-24-2021,1,87.85700878227976,square
2.0687425999999793,17,17,289,289,Oct-24-2021,1,95.72030405494533,square
1.9298870000000081,14,14,196,196,Oct-24-2021,1,96.27553616723097,square
2.4077613000000038,17,17,289,289,Oct-24-2021,1,94.2026855222223,square
2.114030100000008,18,18,324,324,Oct-24-2021,1,95.53087673629396,square
1.4076667999999868,10,10,100,100,Oct-24-2021,1,98.01847418017779,square
1.8119705000000008,14,14,196,196,Oct-24-2021,1,96.71676290712975,square
1.47075430000001,12,12,144,144,Oct-24-2021,1,97.83688178903148,square
1.9730343999999889,17,17,289,289,Oct-24-2021,1,96.10713525641668,square
1.6102106000000165,11,11,121,121,Oct-24-2021,1,97.40722182364759,square
1.3570595999999853,10,10,100,100,Oct-24-2021,1,98.15838924204787,square
1.4367213999999817,11,11,121,121,Oct-24-2021,1,97.93583161878209,square
1.8029652999999823,17,17,289,289,Oct-24-2021,1,96.74931612699598,square
4.9488414000000205,16,16,256,256,Oct-24-2021,1,75.50896879764584,square
1.7659266000000002,14,14,196,196,Oct-24-2021,1,96.88150324341244,square
3.4069670000000087,19,19,361,361,Oct-24-2021,1,88.39257586091094,square
2.2199690999999855,13,13,169,169,Oct-24-2021,1,95.07173719504526,square
2.119568600000008,19,19,361,361,Oct-24-2021,1,95.507428949894,square
2.1595169,18,18,324,324,Oct-24-2021,1,95.33648675861438,square
3.2841206000000227,14,14,196,196,Oct-24-2021,1,89.21455188465549,square
1.7048124000000089,15,15,225,225,Oct-24-2021,1,97.09361468080621,square
2.5026145000000213,17,17,289,289,Oct-24-2021,1,93.73692066438964,square
3.0077902000000165,13,13,169,169,Oct-24-2021,1,90.95319811278387,square
2.522968700000007,11,11,121,121,Oct-24-2021,1,93.63462893882027,square
1.9586643000000092,11,11,121,121,Oct-24-2021,1,96.16363415990547,square
5.692776900000003,19,19,361,361,Oct-29-2021,1,67.59229116682636,square
2.1819963000000016,19,19,361,361,Oct-29-2021,1,95.2388921467863,square
